section_name,filename,human_ann3
U.S.,20inaug-howtowatch-kmqc-articleLarge.jpg,How to Watch Trump? Inauguration. How to Watch the Inauguration Events
U.S.,pol-ironrange-video-promo-articleLarge.jpg,"On Minnesota? Iron Range, Trump? Tariffs Could Be Boom or Bust. In Iron Range, Trump? Tariffs Cast a Shadow"
U.S.,00dc-scotus-pjfl-articleLarge.jpg,Supreme Court Rejects Trump? Bid to Freeze Foreign Aid. Justices Reject  Trump? Freeze  On Foreign Aid
U.S.,15dc-trump-capitulate-fmtb-articleLarge.jpg,Trump? Threats Force Institutions to Choose: Cut a Deal or Fight Back. Institutions Targeted by Trump Face a Choice: Cut a Deal or Resist
U.S.,31dc-trump-asdw-articleLarge.jpg,Trump Says He Plans to Attend Carter? Funeral. Trump Says He Will Attend Carter? Funeral in Washington
U.S.,24dc-prexy-bfgp-articleLarge-v2.jpg,Is Russia an Adversary or a Future Partner? Trump? Aides May Have to Decide..
U.S.,28dc-assess1-plhw-articleLarge.jpg,Behind the Collision: Trump Jettisons Ukraine on His Way to a Larger Goal. Jettisoning Ukraine in Favor of Russia
U.S.,22trump-news-janet-mills-qtpz-articleLarge.jpg,"What to Know About Janet Mills, the Maine Governor Who Told Trump, ?ee You in Court??"
U.S.,2025-02-25-boomerang-firings-index-articleLarge-v13.png,"Fired, Then Rehired, by the Trump Administration."
U.S.,27dc-patel1-vfgq-articleLarge.jpg,"With First Weekly Call, Patel Begins Serious Business of Running F.B.I.."
U.S.,09trump-news-security-clearance-mfkg-articleLarge.jpg,Trump to Revoke Security Clearances for Prosecutors and Biden Officials. Trump Is Revoking Security Clearances for Prosecutors and Some Former Biden Officials
U.S.,22dc-trump-emboldened-articleLarge.jpg,"From Day 1, Trump Tests the Limits of His Authority. Trump Hurries  To Test Limits  Of His Powers"
U.S.,28dc-gabbard01a-photo-fmvw-articleLarge.jpg,A Vatican Meeting Added to Scrutiny of Tulsi Gabbard? Foreign Travels. Gabbard? Flight Trips Got Special Scrutiny After Vatican Meeting
U.S.,xxjan6-history-top-glbc-articleLarge.jpg,? Day of Love?? How Trump Inverted the Violent History of Jan. 6. How Trump Flipped Script And Made Jan. 6 an Asset
U.S.,dc-pardons20-articleLarge.jpg,Trump Allies Seek Pardons From an Emboldened White House. Pardon Seekers Emphasize Their Loyalty to Trump
U.S.,17trump-news-pence-inauguration1-hgfp-articleLarge.jpg,Pence Is Said to Be Planning to Attend Trump? Inauguration.
U.S.,00dc-bessent-gvmc-articleLarge.jpg,Bessent Takes Tricky Center Stage as Trade Wars Roil U.S. Economy. Bessent Takes Tricky Center Stage as Trade Wars Roil U.S. Economy
U.S.,21trump-news-migrant-parole1-kmfw-articleLarge.jpg,Trump Administration Moves to End Program for Migrants From 4 Caribbean and Latin American Nations.
U.S.,06xp-soldiers-wthf-articleLarge.jpg,Two Army Soldiers Are Accused of Selling Military Secrets.
U.S.,10dc-memo-topart-cgtz-articleLarge.jpg,Trump Promised Americans Booming Wealth. Now He? Changing His Tune..
U.S.,11trump-news-tesla-event-hjqp-articleLarge.jpg,"Trump, an E.V. Naysayer, Gives Tesla and Musk a White House Exhibition."
U.S.,30trump-news-auto-prices-vwmp-articleLarge.jpg,Trump? New Concession on Tariffs Is His Most Striking.
